Electrode_name,Electrode_id,X (m),Y (m),Z (m),(1) Left_Right Hand MI,(2) Motor Movement_Imagery Dataset,(3) Grasp and Lift EEG Challenge,(4) The largest SCP data of Motor-Imagery,(5) BCI Competition IV-1,(6) BCI Competition IV-2a,(7) BCI Competition IV-2b,(8) High-Gamma Dataset
I2,86,0.0297416,-0.11426,-0.029256,,,,,,,,101
AFp9h,87,-0.0432897,0.0758552,-0.028244,,,,,,,,
AFp7h,88,-0.0385517,0.0799532,-0.004995,,,,,,,,
AFp5h,89,-0.0279857,0.0824591,0.002702,,,,,,,,
AFp3h,90,-0.0171947,0.0848491,0.010027,,,,,,,,102
AFp1h,91,-0.0059317,0.086878,0.0162,,,,,,,,
AFp2h,92,0.0071053,0.087074,0.016469,,,,,,,,
AFp4h,93,0.0189233,0.0855969,0.011443,,,,,,,,103
AFp6h,94,0.0286443,0.0829759,0.002828,,,,,,,,
AFp8h,95,0.0393203,0.0806868,-0.004725,,,,,,,,
AFp10h,96,0.0438223,0.0765418,-0.028307,,,,,,,,
AFF9h,97,-0.0632538,0.0538573,-0.030316,,,,,,,,
AFF7h,98,-0.0613508,0.0587992,0.000897,,,,,,,,
AFF5h,99,-0.0507998,0.0640412,0.023089,,,,,,,,104
AFF3h,100,-0.0343157,0.0683931,0.041188,,,,,,,,
AFF1h,101,-0.0114357,0.0707561,0.050348,,,,,,,,
AFF2h,102,0.0134793,0.071201,0.051175,,,,,,,,
AFF4h,103,0.0361833,0.0691509,0.041254,,,,,,,,
AFF6h,104,0.0523972,0.0650708,0.022862,,,,,,,,105
AFF8h,105,0.0629152,0.0600448,0.00063,,,,,,,,
AFF10h,106,0.0643342,0.0545998,-0.030444,,,,,,,,
FFT9h,107,-0.0790669,0.0280813,-0.031253,,,,,,,,
FFT7h,108,-0.0744999,0.0313003,0.004846,,,,,,,,106
FFC5h,109,-0.0652379,0.0364282,0.036144,,,,,,,,
FFC3h,110,-0.0444098,0.0407622,0.06169,,,,,,,,
FFC1h,111,-0.0154238,0.04366,0.077682,,,,,,,,107
FFC2h,112,0.0175922,0.044054,0.077788,,,,,,,,108
FFC4h,113,0.0458532,0.0416228,0.060647,,,,,,,,
FFC6h,114,0.0671281,0.0377998,0.035296,,,,,,,,
FFT8h,115,0.0780531,0.0329817,0.004483,,,,,,,,109
FFT10h,116,0.0800971,0.0285137,-0.031338,,,,,,,,
FTT9h,117,-0.084125,-0.0018467,-0.029794,,,,,,,,110
FTT7h,118,-0.082355,0.0008263,0.008579,,,,,,,,111
FCC5h,119,-0.074692,0.0043033,0.045307,,,,,,,,81
FCC3h,120,-0.0510509,0.0071772,0.074377,,,,,,,,82
FCC1h,121,-0.018219,0.0090941,0.092529,,,,,,,,112
FCC2h,122,0.018787,0.0092479,0.091562,,,,,,,,113
FCC4h,123,0.0518851,0.0077978,0.073507,,,,,,,,83
FCC6h,124,0.077002,0.0053357,0.04535,,,,,,,,84
FTT8h,125,0.083888,0.0019457,0.008501,,,,,,,,114
FTT10h,126,0.084123,-0.0018083,-0.029638,,,,,,,,115
TTP9h,127,-0.0869731,-0.0322157,-0.027848,,,,,,,,72
TTP7h,128,-0.0855651,-0.0306287,0.011153,,,,,,,,116
CCP5h,129,-0.0764071,-0.0297307,0.049217,,,,,,,,89
CCP3h,130,-0.0529281,-0.0289058,0.080304,,,,,,,,90
CCP1h,131,-0.0183541,-0.0283219,0.09822,,,,,,,,117
CCP2h,132,0.0202199,-0.0281481,0.098172,,,,,,,,118
CCP4h,133,0.0551139,-0.0283862,0.080474,,,,,,,,91
CCP6h,134,0.0790059,-0.0289863,0.049628,,,,,,,,92
TTP8h,135,0.0859999,-0.0298203,0.011248,,,,,,,,119
TTP10h,136,0.0886249,-0.0322723,-0.028,,,,,,,,73
TPP9h,137,-0.0781602,-0.0607567,-0.023824,,,,,,,,
TPP7h,138,-0.0766802,-0.0608317,0.01288,,,,,,,,120
CPP5h,139,-0.0681152,-0.0629747,0.047252,,,,,,,,
